Year,Region,Technology,Value,Type
2020,FR,P_H2_OCGT,0.0,NewCapacity
2030,FR,P_H2_OCGT,0.0,NewCapacity
2040,FR,P_H2_OCGT,0.0,NewCapacity
2050,FR,P_H2_OCGT,0.0,NewCapacity
2020,NO,P_H2_OCGT,0.0,NewCapacity
2030,NO,P_H2_OCGT,0.0,NewCapacity
2040,NO,P_H2_OCGT,0.0,NewCapacity
2050,NO,P_H2_OCGT,0.0,NewCapacity
2020,UK,P_H2_OCGT,0.0,NewCapacity
2030,UK,P_H2_OCGT,0.0,NewCapacity
2040,UK,P_H2_OCGT,0.0,NewCapacity
2050,UK,P_H2_OCGT,0.0,NewCapacity
2020,DE,P_Hydro_Reservoir,0.0,NewCapacity
2030,DE,P_Hydro_Reservoir,0.2489999999999999,NewCapacity
2040,DE,P_Hydro_Reservoir,0.0,NewCapacity
2050,DE,P_Hydro_Reservoir,0.0,NewCapacity
2020,DK,P_Hydro_Reservoir,0.0,NewCapacity
2030,DK,P_Hydro_Reservoir,0.0,NewCapacity
2040,DK,P_Hydro_Reservoir,0.0,NewCapacity
2050,DK,P_Hydro_Reservoir,0.0,NewCapacity
2020,FR,P_Hydro_Reservoir,0.0,NewCapacity
2030,FR,P_Hydro_Reservoir,0.20910000000000117,NewCapacity
2040,FR,P_Hydro_Reservoir,0.0,NewCapacity
2050,FR,P_Hydro_Reservoir,0.0,NewCapacity
2020,NO,P_Hydro_Reservoir,0.0,NewCapacity
2030,NO,P_Hydro_Reservoir,0.34800000000000253,NewCapacity
2040,NO,P_Hydro_Reservoir,0.0,NewCapacity
2050,NO,P_Hydro_Reservoir,0.0,NewCapacity
2020,UK,P_Hydro_Reservoir,0.0,NewCapacity
2030,UK,P_Hydro_Reservoir,0.0,NewCapacity
2040,UK,P_Hydro_Reservoir,0.0,NewCapacity
2050,UK,P_Hydro_Reservoir,0.0,NewCapacity
2020,DE,P_Hydro_RoR,0.0,NewCapacity
2030,DE,P_Hydro_RoR,0.0,NewCapacity
2040,DE,P_Hydro_RoR,0.0,NewCapacity
2050,DE,P_Hydro_RoR,0.0,NewCapacity
2020,DK,P_Hydro_RoR,0.0,NewCapacity
2030,DK,P_Hydro_RoR,0.0,NewCapacity
2040,DK,P_Hydro_RoR,0.0,NewCapacity
2050,DK,P_Hydro_RoR,0.0,NewCapacity
2020,FR,P_Hydro_RoR,0.0,NewCapacity
2030,FR,P_Hydro_RoR,0.0,NewCapacity
2040,FR,P_Hydro_RoR,0.0,NewCapacity
2050,FR,P_Hydro_RoR,0.0,NewCapacity
2020,NO,P_Hydro_RoR,0.0,NewCapacity
2030,NO,P_Hydro_RoR,0.0,NewCapacity
2040,NO,P_Hydro_RoR,0.0,NewCapacity
2050,NO,P_Hydro_RoR,0.0,NewCapacity
2020,UK,P_Hydro_RoR,0.0,NewCapacity
2030,UK,P_Hydro_RoR,0.0,NewCapacity
2040,UK,P_Hydro_RoR,0.0,NewCapacity
2050,UK,P_Hydro_RoR,0.0,NewCapacity
2020,DE,P_Nuclear,0.0,NewCapacity
2030,DE,P_Nuclear,0.0,NewCapacity
2040,DE,P_Nuclear,0.0,NewCapacity
2050,DE,P_Nuclear,0.0,NewCapacity
2020,DK,P_Nuclear,0.0,NewCapacity
2030,DK,P_Nuclear,0.0,NewCapacity
2040,DK,P_Nuclear,0.0,NewCapacity
2050,DK,P_Nuclear,0.0,NewCapacity
2020,FR,P_Nuclear,0.0,NewCapacity
2030,FR,P_Nuclear,0.0,NewCapacity
2040,FR,P_Nuclear,0.0,NewCapacity
2050,FR,P_Nuclear,0.0,NewCapacity
2020,NO,P_Nuclear,0.0,NewCapacity
2030,NO,P_Nuclear,0.0,NewCapacity
2040,NO,P_Nuclear,0.0,NewCapacity
2050,NO,P_Nuclear,0.0,NewCapacity
2020,UK,P_Nuclear,0.0,NewCapacity
2030,UK,P_Nuclear,0.0,NewCapacity
2040,UK,P_Nuclear,0.0,NewCapacity
2050,UK,P_Nuclear,0.0,NewCapacity
2020,DE,P_Oil,0.0,NewCapacity
2030,DE,P_Oil,0.0,NewCapacity
2040,DE,P_Oil,0.0,NewCapacity
2050,DE,P_Oil,0.0,NewCapacity
2020,DK,P_Oil,0.0,NewCapacity
2030,DK,P_Oil,0.0,NewCapacity
2040,DK,P_Oil,0.0,NewCapacity
2050,DK,P_Oil,0.0,NewCapacity
2020,FR,P_Oil,0.0,NewCapacity
2030,FR,P_Oil,0.0,NewCapacity
2040,FR,P_Oil,0.0,NewCapacity
2050,FR,P_Oil,0.0,NewCapacity
2020,NO,P_Oil,0.0,NewCapacity
2030,NO,P_Oil,0.0,NewCapacity
2040,NO,P_Oil,0.0,NewCapacity
2050,NO,P_Oil,0.0,NewCapacity
2020,UK,P_Oil,0.0,NewCapacity
2030,UK,P_Oil,0.0,NewCapacity
2040,UK,P_Oil,0.0,NewCapacity
2050,UK,P_Oil,0.0,NewCapacity
2020,DE,P_PV_Utility_Avg,0.0,NewCapacity
2030,DE,P_PV_Utility_Avg,0.0,NewCapacity
2040,DE,P_PV_Utility_Avg,258.0,NewCapacity
2050,DE,P_PV_Utility_Avg,0.0,NewCapacity
2020,DK,P_PV_Utility_Avg,0.0,NewCapacity
2030,DK,P_PV_Utility_Avg,0.0,NewCapacity
2040,DK,P_PV_Utility_Avg,23.0,NewCapacity
2050,DK,P_PV_Utility_Avg,0.0,NewCapacity
2020,FR,P_PV_Utility_Avg,0.0,NewCapacity
2030,FR,P_PV_Utility_Avg,0.0,NewCapacity
2040,FR,P_PV_Utility_Avg,173.350892026162,NewCapacity
2050,FR,P_PV_Utility_Avg,123.649107973838,NewCapacity
