Year,From,To,Hour,Fuel,Value,Technology
2030,FR,UK,114,H2,237.81990741666664,Import
2030,FR,UK,115,Power,277.4,Import
2030,FR,UK,115,H2,237.81990741666664,Import
2030,FR,UK,116,Power,277.4,Import
2030,FR,UK,116,H2,237.81990741666664,Import
2030,FR,UK,117,Power,277.4,Import
2030,FR,UK,117,H2,237.81990741666664,Import
2030,FR,UK,118,Power,277.4,Import
2030,FR,UK,118,H2,237.81990741666664,Import
2030,FR,UK,119,Power,277.4,Import
2030,FR,UK,119,H2,237.81990741666664,Import
2030,FR,UK,120,Power,277.4,Import
2030,FR,UK,120,H2,237.81990741666664,Import
2030,NO,UK,1,Power,131.4,Import
2030,NO,UK,1,Gas,0.0,Import
2030,NO,UK,1,H2,0.0,Import
2030,NO,UK,2,Power,131.4,Import
2030,NO,UK,2,Gas,0.0,Import
2030,NO,UK,2,H2,0.0,Import
2030,NO,UK,3,Power,131.4,Import
2030,NO,UK,3,Gas,0.0,Import
2030,NO,UK,3,H2,0.0,Import
2030,NO,UK,4,Power,131.4,Import
2030,NO,UK,4,Gas,0.0,Import
2030,NO,UK,4,H2,0.0,Import
2030,NO,UK,5,Power,131.4,Import
2030,NO,UK,5,Gas,0.0,Import
2030,NO,UK,5,H2,0.0,Import
2030,NO,UK,6,Power,131.4,Import
2030,NO,UK,6,Gas,0.0,Import
2030,NO,UK,6,H2,0.0,Import
2030,NO,UK,7,Power,131.4,Import
2030,NO,UK,7,Gas,0.0,Import
2030,NO,UK,7,H2,0.0,Import
2030,NO,UK,8,Power,131.4,Import
2030,NO,UK,8,Gas,0.0,Import
2030,NO,UK,8,H2,0.0,Import
2030,NO,UK,9,Power,131.4,Import
2030,NO,UK,9,Gas,0.0,Import
2030,NO,UK,9,H2,0.0,Import
2030,NO,UK,10,Power,131.4,Import
2030,NO,UK,10,Gas,0.0,Import
2030,NO,UK,10,H2,0.0,Import
2030,NO,UK,11,Power,131.4,Import
2030,NO,UK,11,Gas,0.0,Import
2030,NO,UK,11,H2,0.0,Import
2030,NO,UK,12,Power,131.4,Import
2030,NO,UK,12,Gas,0.0,Import
2030,NO,UK,12,H2,0.0,Import
2030,NO,UK,13,Power,131.4,Import
2030,NO,UK,13,Gas,0.0,Import
2030,NO,UK,13,H2,0.0,Import
2030,NO,UK,14,Power,131.4,Import
2030,NO,UK,14,Gas,0.0,Import
2030,NO,UK,14,H2,0.0,Import
2030,NO,UK,15,Power,131.4,Import
2030,NO,UK,15,Gas,0.0,Import
2030,NO,UK,15,H2,0.0,Import
2030,NO,UK,16,Power,131.4,Import
2030,NO,UK,16,Gas,0.0,Import
2030,NO,UK,16,H2,0.0,Import
2030,NO,UK,17,Power,131.4,Import
2030,NO,UK,17,Gas,0.0,Import
2030,NO,UK,17,H2,0.0,Import
2030,NO,UK,18,Power,0.0,Import
2030,NO,UK,18,Gas,0.0,Import
2030,NO,UK,18,H2,0.0,Import
2030,NO,UK,19,Power,0.0,Import
2030,NO,UK,19,Gas,0.0,Import
2030,NO,UK,19,H2,0.0,Import
2030,NO,UK,20,Power,0.0,Import
2030,NO,UK,20,Gas,0.0,Import
2030,NO,UK,20,H2,0.0,Import
2030,NO,UK,21,Power,0.0,Import
2030,NO,UK,21,Gas,0.0,Import
2030,NO,UK,21,H2,0.0,Import
2030,NO,UK,22,Power,0.0,Import
2030,NO,UK,22,Gas,0.0,Import
2030,NO,UK,22,H2,0.0,Import
2030,NO,UK,23,Power,0.0,Import
2030,NO,UK,23,Gas,0.0,Import
2030,NO,UK,23,H2,0.0,Import
2030,NO,UK,24,Power,0.0,Import
2030,NO,UK,24,Gas,0.0,Import
2030,NO,UK,24,H2,0.0,Import
2030,NO,UK,25,Power,0.0,Import
2030,NO,UK,25,Gas,0.0,Import
2030,NO,UK,25,H2,0.0,Import
2030,NO,UK,26,Power,131.4,Import
2030,NO,UK,26,Gas,0.0,Import
2030,NO,UK,26,H2,0.0,Import
2030,NO,UK,27,Power,131.4,Import
2030,NO,UK,27,Gas,0.0,Import
2030,NO,UK,27,H2,0.0,Import
2030,NO,UK,28,Power,131.4,Import
2030,NO,UK,28,Gas,0.0,Import
2030,NO,UK,28,H2,0.0,Import
2030,NO,UK,29,Power,0.0,Import
2030,NO,UK,29,Gas,0.0,Import
2030,NO,UK,29,H2,0.0,Import
2030,NO,UK,30,Power,131.4,Import
2030,NO,UK,30,Gas,0.0,Import
2030,NO,UK,30,H2,0.0,Import
2030,NO,UK,31,Power,38.79196935891944,Import
2030,NO,UK,31,Gas,0.0,Import
2030,NO,UK,31,H2,0.0,Import
2030,NO,UK,32,Power,105.98295267707542,Import
2030,NO,UK,32,Gas,0.0,Import
2030,NO,UK,32,H2,0.0,Import
2030,NO,UK,33,Power,131.4,Import
2030,NO,UK,33,Gas,0.0,Import
2030,NO,UK,33,H2,0.0,Import
2030,NO,UK,34,Power,131.4,Import
2030,NO,UK,34,Gas,0.0,Import
2030,NO,UK,34,H2,0.0,Import
2030,NO,UK,35,Power,101.21787506496864,Import
2030,NO,UK,35,Gas,0.0,Import
2030,NO,UK,35,H2,0.0,Import
2030,NO,UK,36,Power,117.66396902206387,Import
2030,NO,UK,36,Gas,0.0,Import
2030,NO,UK,36,H2,0.0,Import
2030,NO,UK,37,Power,131.4,Import
2030,NO,UK,37,Gas,0.0,Import
2030,NO,UK,37,H2,0.0,Import
2030,NO,UK,38,Power,131.4,Import
2030,NO,UK,38,Gas,0.0,Import
2030,NO,UK,38,H2,0.0,Import
2030,NO,UK,39,Power,131.4,Import
2030,NO,UK,39,Gas,0.0,Import
2030,NO,UK,39,H2,0.0,Import
2030,NO,UK,40,Power,131.4,Import
2030,NO,UK,40,Gas,0.0,Import
2030,NO,UK,40,H2,0.0,Import
2030,NO,UK,41,Power,131.4,Import
2030,NO,UK,41,Gas,0.0,Import
2030,NO,UK,41,H2,0.0,Import
2030,NO,UK,42,Power,131.4,Import
2030,NO,UK,42,Gas,0.0,Import
2030,NO,UK,42,H2,0.0,Import
2030,NO,UK,43,Power,131.4,Import
2030,NO,UK,43,Gas,0.0,Import
2030,NO,UK,43,H2,0.0,Import
2030,NO,UK,44,Power,131.4,Import
2030,NO,UK,44,Gas,0.0,Import
2030,NO,UK,44,H2,0.0,Import
2030,NO,UK,45,Power,131.4,Import
2030,NO,UK,45,Gas,0.0,Import
2030,NO,UK,45,H2,0.0,Import
2030,NO,UK,46,Power,131.4,Import
2030,NO,UK,46,Gas,0.0,Import
2030,NO,UK,46,H2,0.0,Import
2030,NO,UK,47,Power,131.4,Import
2030,NO,UK,47,Gas,0.0,Import
2030,NO,UK,47,H2,0.0,Import
2030,NO,UK,48,Power,131.4,Import
2030,NO,UK,48,Gas,0.0,Import
2030,NO,UK,48,H2,0.0,Import
2030,NO,UK,49,Power,131.4,Import
2030,NO,UK,49,Gas,0.0,Import
